T[s]	Sd/g[-]
2.603302	0.043552
2.605303	0.043485
2.607304	0.043419
2.609305	0.043352
2.611306	0.043286
2.613307	0.043219
2.615308	0.043153
2.617309	0.043087
2.619310	0.043022
2.621311	0.042956
2.623312	0.042890
2.625313	0.042825
2.627314	0.042760
2.629315	0.042695
2.631316	0.042630
2.633317	0.042565
2.635318	0.042500
2.637319	0.042436
2.639320	0.042372
2.641321	0.042308
2.643322	0.042243
2.645323	0.042180
2.647324	0.042116
2.649325	0.042052
2.651326	0.041989
2.653327	0.041926
2.655328	0.041862
2.657329	0.041799
2.659330	0.041736
2.661331	0.041674
2.663332	0.041611
2.665333	0.041549
2.667334	0.041486
2.669335	0.041424
2.671336	0.041362
2.673337	0.041300
2.675338	0.041238
2.677339	0.041177
2.679340	0.041115
2.681341	0.041054
2.683342	0.040993
2.685343	0.040932
2.687344	0.040871
2.689345	0.040810
2.691346	0.040749
2.693347	0.040689
2.695348	0.040628
2.697349	0.040568
2.699350	0.040508
2.701351	0.040448
2.703352	0.040388
2.705353	0.040329
2.707354	0.040269
2.709355	0.040209
2.711356	0.040150
2.713357	0.040091
2.715358	0.040032
2.717359	0.039973
2.719360	0.039914
2.721361	0.039855
2.723362	0.039797
2.725363	0.039738
2.727364	0.039680
2.729365	0.039622
2.731366	0.039564
2.733367	0.039506
2.735368	0.039448
2.737369	0.039391
2.739370	0.039333
2.741371	0.039276
2.743372	0.039218
2.745373	0.039161
2.747374	0.039104
2.749375	0.039047
2.751376	0.038991
2.753377	0.038934
2.755378	0.038877
2.757379	0.038821
2.759380	0.038765
2.761381	0.038709
2.763382	0.038653
2.765383	0.038597
2.767384	0.038541
2.769385	0.038485
2.771386	0.038430
2.773387	0.038374
2.775388	0.038319
2.777389	0.038264
2.779390	0.038209
2.781391	0.038154
2.783392	0.038099
